File;Question;Context
;What is the minimum current rating required for the socket that the appliance should be plugged into?;"6. INSTALLING THE APPLIANCE
 Important!
When you install the appliance, you should respect the following safety warnings:
• Water penetrating the coffee maker could cause damage. 
Do not place the appliance near taps or sinks.
• The appliance could be damaged if the water it contains 
freezes. 
Do not install the appliance in a room where the temperature could drop below freezing point.
• Arrange the cord in such a way that it cannot be damaged 
by sharp edges or contact with hot surfaces (e.g. electric 
hot plates).
• The appliance gives off heat. After positioning the appliance on the worktop, leave a space of at least 3 cm between the surfaces of the appliance and the side and rear 
walls and at least 15 cm above the machine.
• Clean all the removable parts with tap water.
6.1 Connecting the appliance
Danger!
Check that the mains power supply voltage corresponds to that 
indicated on the rating plate on the bottom of the appliance.
Connect the appliance to an efficiently earthed and correctly 
installed socket with a minimum current rating of 10A only. If 
the power socket does not match the plug on the appliance, 
have the socket replaced with a suitable type by a qualified 
professional.
7. FILLING THE WATER TANK
Please note:
Before first use, wash all the accessories and water tank with 
warm water.
1. Extract the tank by pulling it upwards (fig. 1). 
2. Open the lid and fill the tank with fresh clean water, taking 
care not to exceed the MAX level (fig. 2). Put the tank back 
in the appliance, pressing lightly to open the valves located 
on the bottom of the tank.
3. More simply, the tank can also be filled without removing 
it, pouring the water directly from a jug.
Important: 
Never operate the appliance without water in the tank or without the tank.
Please note: 
It is normal for there to be water in the space under the tank. 
This should therefore be dried regularly with a clean sponge"
;How should the cord of the appliance be arranged to prevent damage?;
;What is the maximum level that the water tank should be filled to?;
;Is it normal for there to be water in the space under the water tank?;
;How should the removable parts of the appliance be cleaned before first use?;
;What should be done if the mains power supply voltage does not match the voltage indicated on the rating plate of the appliance?;
;Is it safe to operate the appliance without water in the tank or without the tank itself?;
;How do you access the settings menu on the coffee maker?;"8. FIRST USE
At first use, rince the internal circuit as follows:
1. Turn the appliance on by pressing the ON/OFF switch (fig. 
3). The appliance performs a self-diagnosis cycle, indicated 
by sequential flashing of the three buttons.
2. The and lights flash to indicate the appliance 
is heating up. When the lights stop flashing and remain on 
steadily, the appliance is ready for operating the rinse.
3. Attach the filter holder to the appliance (fig. 9).
4. Place a container with a minimum capacity of 500 ml 
under the boiler outlet (A5) (fig. 4) and press the 
button. Repeat this operation 5 times.
5. Empty the container and put it under the hot water/steam 
spout (A12) (fig. 4).
6. Turn the hot water/steam dial to the position (fig. 
5) and deliver to empty the water tank (A3), then turn the 
knob to the ○ position.

9. PROGRAMMING THE SETTINGS MENU
To access the menu, make sure the appliance is ready for use, 
then press and hold the button for 10 seconds until the 
three buttons flash in sequence: 
The appliance is now in programming mode. 
Set the coffee maker as you wish, then exit the settings menu by 
waiting for 15 seconds.
Please note:
If no selections are made for 15 seconds, the appliance automatically exits programming and is ready for use again.
9.1 Setting coffee temperature
To modify the temperature of the water used to make the coffee, 
proceed as follows:
1. Access the settings menu,
2. Press the button to enter the coffee temperature 
selection mode. The lights corresponding to the current 
selection come on:
low
medium 
high
3. The lights start flashing in sequence,
4. Press the button corresponding to the required 
temperature:
 
 low medium high
5. The button flashes to indicate that the selection has 
been saved. 
The appliance exits the menu and is ready for use. 
9.2 Setting water hardness
The light (B7) indicating that the coffee maker needs descaling 
comes on after a period of operation established according to 
water hardness. 
The appliance can also be programmed according to the hardness of the mains water in the various regions so that descaling 
needs to be performed more or less frequently. 
Proceed as follows:
1. Access the settings menu,
2. Press the button to enter the water hardness selection mode. The lights corresponding to the current selection come on:
soft
medium 
hard
3. The lights start flashing in sequence,
4. Press the button corresponding to the water hardness in 
your area:
soft water medium 
water
hard water
<10°dH 10°dH - 20°dH >20°dH
<18°fH 18°fH - 36°fH >36°fH
<180mg/l CaCo3 180-360mg/l CaCo3 >360mg/l CaCo3
- The button flashes to indicate that the selection has 
been saved. 
The appliance exits the menu and is ready for use.
9.3 Adjusting auto-off (stand-by)
To save energy, an auto-off function turns the appliance off 
when not used for a long period. To turn it back on again, press 
any button on the control panel.
1. Access the settings menu,
2. Press the button to enter the auto-off time selection 
mode. The lights corresponding to the current selection 
come on:
9 min
30 min
3 hours
3. The lights start flashing in sequence,
4. Press the button corresponding to the required time:
5. The button flashes to indicate that the selection has 
been saved. 
The appliance exits the menu and is ready for use. 
9.4 Default values (reset)
This resets all menu settings and programmed quantities back 
to the default values. 
To reset the default values, proceed as follows:
1. Position the steam spout over the drip tray,
2. Access the settings menu,
3. Turn the steam dial to the position,
4. Press the button. The three lights flash simultaneously to confirm that the original settings have been 
restored.
5. The and lights flash to indicate that the 
steam dial must be closed again (○symbol).
When the steam dial has been closed, the appliance is ready for 
use"
;How do you exit the settings menu on the coffee maker?;
;How do you make one espresso coffee using pre-ground coffee?;"10. HOW TO MAKE ESPRESSO COFFEE
10.1 Tips for a hotter coffee
For hotter espresso coffee, you should:
• You are recommended to warm the cups before making 
coffee by rinsing them with a little hot water.
• Attach the filter holder to the appliance with the filter in 
place but without adding coffee. Using the same cup 
as will later be used to make the coffee, press the 1 cup 
button and deliver hot water into the cup to heat it.
• Raise the coffee temperature in the settings menu.
• Rest the cups you will be using on the cup warmer (A4) 
which becomes hot during operation.
10.2 How to prepare espresso coffee using preground coffee
1. Place the ground coffee filter (C2 or C3) in the filter holder 
(fig. 6). To make one coffee, use the filter with the 
symbol on the bottom, to make two coffees, use the filter 
with the symbol on the bottom.
2. To make just one coffee, place one level measure of preground coffee (about 7 g) in the filter (fig. 7). To make two 
coffees, place two loosely filled measures (about 7+7 g) of 
pre-ground coffee in the filter. Fill the filter a little at a time 
to prevent the pre-ground coffee from overflowing.
 Important: 
For correct operation, before filling with pre-ground coffee, 
make sure there are no coffee residues left in the filter from the 
last time you made coffee.
3. Distribute the pre-ground coffee evenly and press lightly 
with the presser (fig. 8).
Correct pressing of the pre-ground coffee is essential to 
obtain a good espresso. If you press too firmly, the coffee 
will be delivered slowly and will be strong. If you press 
too lightly, the coffee will be delivered quickly and will be 
weak.
4. Remove any excess coffee from the rim of the filter holder 
and attach the filter holder to the appliance. To attach correctly, align the filter holder handle with the INSERT symbol (fig. 9), attach the filter holder and rotate the handle 
towards the right until aligned with the CLOSE symbol.
5. Place the cup or cups under the filter holder spouts (fig. 
10). 
6. Make sure the lights corresponding to the coffee buttons 
are on, then press the or coffee button. The 
appliance proceeds to make the coffee and delivery is interrupted automatically.
7. To remove the filter holder, turn the handle from right to 
left.
 Danger of burns! 
To avoid splashes, never remove the filter holder while the 
appliance is delivering coffee. Always wait for a few seconds 
after delivery.
10.3 How to make espresso coffee using pods
 Please note: 
Use pods conforming to the ESE standard, indicated on the pack 
by the following symbol. 
The ESE standard is a system accepted by leading pod producers and enables espresso coffee 
to be prepared simply and cleanly.
1. Place the filter for coffee pods (with the symbol on 
the bottom) in the filter holder.
2. Insert the pod, centring it as far as possible on the filter 
(fig. 11). Always follow the instructions on the pod pack to 
position the pod on the filter correctly. 
Proceed as described in points 4 to 6 in the previous section.
 Please note: 
• While the appliance is making coffee, delivery can be interrupted at any moment by pressing the coffee button 
pressed previously.
• At the end of delivery (within 3 seconds), to increase the 
amount of coffee in the cup, press and hold the coffee button pressed previously. Delivery is automatically interrupted after a few seconds.
• To remove the filter holder, turn the handle from right to 
left.
 Danger of burns! 
To avoid splashes, never remove the filter holder while the 
appliance is delivering coffee. Always wait for a few seconds 
after delivery.
10.4 Programming the quantities of coffee in 
the cup
The appliance is set by default to automatically deliver standard 
quantities. To change these quantities, proceed as follows:
1. Place one or two cups under the filter holder spouts.
2. Press and hold the button you want to programme (
or ). The coffee maker starts delivering coffee and 
the other coffee button flashes to indicate that the appliance is in programming mode.
3. Once the required quantity of coffee has been delivered 
into the cup, release the button. Delivery stops and the 
light flashes to indicate that the quantity has been saved 
correctly.
4. When the two coffee lights come on steadily, the appliance 
is ready for use.
11. HOW TO MAKE CAPPUCCINO
1. Prepare the espresso coffees as described in the previous 
sections, using sufficiently large cups. To use tall glasses, 
remove the drip tray and stand the glasses on the glasses 
tray (A10),
2. Press the button (fig. 12). The light flashes,
3. In the meantime, fill a recipient with about 100 grams of 
milk for each cappuccino to be prepared. For a denser more 
even froth, you must use skimmed or partially skimmed 
milk at refrigerator temperature (about 5°C). In choosing 
the size of the recipient, bear in mind that the milk doubles 
or triples in volume (fig. 13).
4. Make sure the cappuccino maker selection ring (A14) is in 
the ""CAPPUCCINO"" position (fig. 14),
5. Wait for the light corresponding to the button to 
come on steadily, indicating that the boiler has reached 
the ideal temperature to produce steam.
6. Position an empty container under the cappuccino maker 
and open the dial for a few seconds to eliminate any air left 
in the circuit. Close the dial again.
7. Place the recipient containing the milk under the cappuccino maker.
8. Immerse the cappuccino maker in the milk container. 
Never immerse the black ring(fig. 15). Turn the dial to the 
position. Steam is delivered from the cappuccino 
maker, giving the milk a creamy frothy appearance (fig. 
16). To obtain a creamier froth, immerse the cappuccino 
maker in the milk and rotate the container with slow upward movements.
9. When the required temperature (the ideal is 60°C) and 
froth density is reached, interrupt steam delivery by turning the steam dial clockwise.
10. Pour the frothed milk into the cups containing the espresso 
coffee prepared previously. The cappuccino is ready. Sweeten to taste and if desired, sprinkle the froth with a little 
cocoa powder.
Please note:
• to prepare more than one cappuccino, first make all the 
coffees then at the end prepare the frothed milk for all the 
cappuccinos,
• to exit the steam function, press any button. The 
and lights flash to indicate that the temperature is 
too high to make coffee (see section ""Cooling the boiler”).
You should not deliver steam for more than 
60 seconds.
12. MAKING HOT MILK
To make hot milk without froth, proceed as described in the 
above section, making sure the cappuccino maker selection 
ring (A14) is positioned upwards in the ""HOT MILK"" position."
;What should you do to make hotter espresso coffee?;
;How do you prepare espresso coffee using pods?;
;How do you program the quantities of coffee in the cup?;
;How do you make espresso coffee using the steam function?;
;How do you make a long coffee using pre-ground coffee?;
;How do you make a long coffee using pods?;
;How do you make a cappuccino using the steam function?;
;How do you make a latte macchiato using the steam function?;
;How do you make a hot water for tea using the hot water function?;
;What should you do to avoid splashes when removing the filter holder?;"13. CLEANING THE CAPPUCCINO MAKER AFTER USE
Important: 
For hygiene reasons, the cappuccino maker should always be 
cleaned after use.
Proceed as follows:
1. Turn the steam dial to deliver a little steam for a few seconds (points 2, 5 and 6 of the previous section). This causes the cappuccino maker to discharge any milk left inside. 
Press the ON/OFF button to turn the appliance off.
2. Wait a few minutes for the cappuccino maker to cool down. 
With one hand, hold the cappuccino maker tube firmly, 
with the other, release the cappuccino maker by turning it 
clockwise, then pull off downwards (fig. 17).
3. Remove the rubber steam connection nozzle from the 
spout by pulling it downwards (fig. 18).
4. Push the ring upwards and make sure the two holes shown 
by the arrows in fig. 19 are not blocked. If necessary, clean 
with a pin,
12
5. Replace the nozzle, move the ring downwards and put the 
cappuccino maker back on the connection nozzle, turning 
it and pushing it upwards until it is attached.
14. COOLING THE BOILER
To make coffee again immediately after frothing milk, the boiler must first be cooled or the coffee will be burnt. Proceed as 
follows:
• place a container under the cappuccino maker,
• open the steam dial to deliver hot water and cool the 
boiler,
• hot water delivery is interrupted automatically when the 
boiler is cool. When the pump stops operating and no more 
water is delivered, close the steam dial.
The coffee maker is now ready for use.
15. HOT WATER
1. Press the ON/OFF button (fig. 3) to turn the appliance on. 
Wait for the coffee lights to come on steadily.
2. Place a recipient under the cappuccino maker.
3. Turn the dial to the position. Hot water is delivered 
from the cappuccino maker.
4. To stop hot water delivery, close the dial and press any 
button.
You should not deliver hot water for more 
than 60 seconds.
16. CLEANING
16.1 Cleaning the machine
The following parts of the machine must be cleaned regularly:
- drip tray (A9) 
- the coffee filters (C2, C3 and C4),
- the boiler outlet (A5),
- water tank (A3),
- the cappuccino maker (A15) as described in section ""”13. 
Cleaning the cappuccino maker after use”,
 Important! 
• Do not use solvents, abrasive detergents or alcohol to clean 
the coffee machine. 
• Do not use metal objects to remove encrustations or coffee 
deposits as they could scratch metal or plastic surfaces.
• If the appliance is not used for more than one week, before 
using it again, we strongly recommend you perform a rinse 
cycle as described in section ”8. first use”.
Danger! 
• While cleaning, never immerse the coffee maker in water. 
It is an electrical appliance.
• Before cleaning the outside of the appliance, turn it off, 
unplug from the mains socket and allow to cool.
16.2 Cleaning the drip tray 
 Important! 
The drip tray is fitted with a level indicator (red) showing the 
level of water it contains (fig. 20). Before the indicator protrudes 
from the cup tray, the drip tray must be emptied and cleaned 
otherwise the water may overflow the edge and damage the 
appliance, the surface it rests on or the surrounding area.
1. Remove the drip tray (fig. 21).
2. Remove the cup tray (A7), empty the water and clean the 
drip tray with a cloth, then reassemble the drip tray. Extract the mugs or glasses tray (A10), clean with water, dry 
and put back in the machine,
3. Put the drip tray back in place.
16.3 Cleaning the coffee filters
Clean the coffee filters regularly:
1. Rinse the filters under running water (fig. 22),
2. Make sure the holes are not blocked. If necessary, clean 
with a pin (figs. 22 and 23).
16.4 Cleaning the boiler outlet
After every 200 coffees, rinse the boiler outlet by delivering 
about 0.5 l of water from the boiler outlet (press the coffee button without using ground coffee).
16.5 Other cleaning operations
1. Do not use solvents or abrasive detergents to clean the coffee maker. Use a soft damp cloth only.
2. Clean the filter holder cup.
16.6 Cleaning the water tank
1. Clean the water tank regularly (about once a month) and 
whenever you replace the water softener filter (C6, *if provided) with a damp cloth and a little mild washing up liquid,
2. Remove the filter (*if present) and rinse with running 
water,
3. Put the filter (*if provided) back in the appliance, fill the 
tank with fresh water and replace the tank,
4. (Models with water softener filter only) Deliver about 100 
ml of water.
Danger!
While cleaning, never immerse the coffee maker in water. It is 
an electrical appliance.
13
16.7 Descale
Descale the appliance when the orange light on the button comes on.
Important! 
• Before use, read the instructions and the labelling on the 
descaler pack.
• You should use De'Longhi descaler only. Using unsuitable 
descaler and/or performing descaling incorrectly may result in faults not covered by the manufacturer's guarantee.
Proceed as follows:
1. (IF PRESENT, REMOVE THE WATER SOFTENER FILTER). Fill 
the tank with the descaler solution, obtained by diluting 
the descaler provided with water (fill the water tank up to 
the MAX level).
2. Press the ON/OFF button.
3. Make sure the filter holder is not attached and position a 
recipient under the hot water spout and boiler outlet (A5) 
(fig. 24).
4. Wait for the and lights to come on steadily, 
indicating that the appliance is ready for use.
5. Press and hold the button for 10 seconds until the 
three buttons flash in sequence.
6. Turn the steam dial to the position.
7. Press the button to start descaling.
8. The descale programme starts and the descaler liquid 
comes out of the water spout. The descale programme 
removes limescale deposits from inside the appliance by 
automatically performing a series of rinses and pausesuntil 
the tank is completely empty.
 Please note: 
During descaling, to clean the boiler outlet, close the steam dial 
from time to time to deliver small quantities of descaler from 
the boiler outlet.
9. The appliance stops operation and the orange 
light continues to flash, indicating that descaling is still 
underway.
10. The appliance is now ready for rinsing through with clean 
water. Extract the water tank, empty, rinse under running 
water, fill with fresh water up to the MAX level and put 
back in the appliance (If used, insert the water softener 
filter).
11. Empty the container used to collect the descaler solution 
and replace it empty under the hot water spout.
12. Make sure the steam dial is in the position, then 
press the button to start rinsing.
 Please note: 
During rinsing, to clean the boiler outlet, close the steam dial 
from time to time to deliver small quantities of water from the 
boiler outlet.
13. When the water tank is empty, the orange light goes out 
and descaling is complete.
14. Make sure the steam dial is in the closed position (○
symbol).
The appliance is ready for use.
 Please note! 
• If the descaling cycle is not completed correctly (e.g. no 
electricity) we recommend repeating the cycle,
• If the water tank has not been filled to the MAX level, at the 
end of descaling, the appliance requests a further rinse to 
guarantee that the descaler solution has been completely 
eliminated from the machine's internal circuits.
Repair of damage to the coffee maker caused by limescale is not 
covered by the guarantee unless descaling is performed regularly as described above."
;How do you adjust the temperature of the water used to make coffee?;
;How do you reset the default values in the settings menu?;
;How do you program the quantities of coffee in the cup?;
;How do you clean the outside of the appliance?;
;How do you clean the cappuccino maker after use?;
;What should you do if the water in the drip tray reaches the level indicator?;
;How do you clean the coffee filters?;
;How do you clean the boiler outlet?;
;How do you descale the coffee maker?;
;How do you clean the water tank?;
;How do you clean the steam nozzle?;
;How do you clean the hot water spout?;
;How do you clean the inside of the appliance?;
;How do you store the appliance?;
